#OTU ID,W12t1b,W12t1c,W12t1l,W12t2b,W12t2c,W12t2l,W12t3b,W12t3c,W12t3l,W12t4b,W12t4c,W12t4l,W12t5b,W12t5c,W12t5l,W12t6b,W12t6c,W12t6l,W48t21b,W48t21c,W48t21l,W48t22b,W48t22c,W48t22l,W48t23b,W48t23c,W48t23l,W48t24b,W48t24c,W48t24l,W48t25b,W48t25c,W48t25l,W48t26b,W48t26c,W48t26l,WC10Mb,WC10Mc,WC10Ml,WC31Hb,WC31Hc,WC31Hl,WC32Hb,WC32Hc,WC32Hl,WC33Hb,WC33Hc,WC33Hl,WC8Mb,WC8Mc,WC8Ml,WC9Mb,WC9Mc,WC9Ml
Zotu15821,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,3,0,4,2,0,3,0,0,0,1,0,1,0,0,0,1,0,2,0,0,3,0,0,2,3
Zotu15822,1,0,0,0,5,0,0,0,0,0,3,0,0,1,1,0,1,0,0,4,0,0,3,0,0,2,0,0,11,0,0,1,0,0,3,0,0,3,0,0,1,0,0,1,0,0,1,0,0,6,0,0,1,0
Zotu15823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu15824,0,1,0,0,0,3,1,1,5,0,0,10,0,0,2,0,5,2,0,5,1,0,1,0,0,0,4,0,4,1,0,2,25,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,3,15
Zotu15825,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Zotu15826,0,6,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,3,0,2,2,0,0,1,0,0,4,0,7,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,0,0,8,1,0
Zotu15827,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu15828,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,12,0,1,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0
Zotu15829,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,6,20,0,7,0,0,0,14,0,0,0,0,2,0,0,15,1,0,8,0,0,4,0,0,0,1,0,9,1
Zotu1583,0,6,10,4,2,6,0,1,3,0,5,3,0,1,6,0,6,10,1,2,22,0,11,1,1,17,15,0,5,0,2,15,6,0,15,10,0,3,5,1,7,2,1,7,7,0,5,14,0,9,6,0,1,6
Zotu15830,0,10,22,0,2,1,0,4,1,0,3,0,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,1,2,17,0,1,1,0,0,0,2,1,4,0,2,0,0,3,1
Zotu15831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
Zotu15832,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Zotu15833,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu15834,1,18,0,0,16,31,0,3,0,0,15,1,1,5,0,0,8,0,2,0,8,0,1,0,1,5,0,1,16,1,0,12,0,0,9,0,1,18,0,1,5,0,0,16,45,1,0,1,0,1,0,0,32,2
Zotu15835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,3,5,0,2,0
Zotu15836,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,3,0,0,9,0,0,3,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,13,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0
Zotu15837,0,0,20,1,9,0,0,0,0,0,7,5,0,2,11,0,6,0,1,0,0,1,4,0,0,1,0,0,6,4,0,1,5,0,1,0,0,7,10,0,3,0,1,8,12,0,1,0,0,2,1,0,0,0
Zotu15838,0,0,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Zotu15839,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1584,6,8,1,4,3,4,4,6,0,3,2,3,2,6,1,3,10,7,3,6,2,7,0,6,1,5,9,0,2,0,0,4,1,5,3,3,5,10,16,2,2,1,12,2,17,25,23,6,3,2,3,23,5,0
Zotu15840,0,0,0,0,0,0,3,0,1,2,0,0,4,0,1,0,0,0,10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1
Zotu15841,0,3,0,0,0,0,0,0,8,0,0,14,0,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,2,0,5,0,0,0,0,0,1,2,0,0,0
Zotu15842,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,6,0,0,7,0,0,8,1,0,0,0,0,1,13,1,4,0,0,9,6,0,3,0,0,7,0,0,2,0,0,5,0,0,5,13
